indicator,name,latest_date,latest_value,prev_date,prev_value,delta
SL.UEM.TOTL.ZS,"Desempleo (%)",2024,9.608,2023,9.594,0.014000000000001123
FP.CPI.TOTL.ZG,"Inflación (%)",2024,6.60908593728228,2023,11.7359044948689,-5.12681855758662
NY.GDP.MKTP.CD,"PIB (USD corrientes)",2024,418542042920.189,2023,366291836137.916,52250206782.27301
